"
          Goku        ","
$9.00        ","
          948 Own
        ","
          250 Want
        ",Released 2016Rarity: 1/12 
"
          Goku (Super Saiyan)        ","
$9.00        ","
          810 Own
        ","
          249 Want
        ",Released 2016Excl. to Hot TopicRarity: 1/12 
"
          Piccolo        ","
$5.00        ","
          793 Own
        ","
          247 Want
        ",Released 2016Rarity: 1/12 
"
          Vegeta        ","
$7.00        ","
          1203 Own
        ","
          250 Want
        ",Released 2016Rarity: 1/12 
"
          Super Saiyan Goku (Glow In The Dark)        ","
$9.00        ","
          1671 Own
        ","
          132 Want
        ",Released 2016Excl. to Gamestop  
"
          Goku (Windy) (Kamehameha) and Goku Tee        ","
$36.00        ","
          863 Own
        ","
          108 Want
        ",Released 2019Excl. to GameStop 
"
          Goku        ","
$9.00        ","
          1024 Own
        ","
          242 Want
        ",Released 2016 
"
          Super Saiyan God Super Saiyan Goku        ","
$25.00        ","
          772 Own
        ","
          322 Want
        ",Released 2016 
"
          Vegeta        ","
$11.00        ","
          984 Own
        ","
          254 Want
        ",Released 2016 
"
          Android 16        ","
N/D        ","
          103 Own
        ","
          353 Want
        ",Due 2019-11-01 
"
          Android 17        ","
$8.00        ","
          4611 Own
        ","
          634 Want
        ",#529Released 2019 
"
          Android 18        ","
$6.00        ","
          4591 Own
        ","
          655 Want
        ",#530Released 2019 
"
          Badman Vegeta        ","
$13.00        ","
          15795 Own
        ","
          2189 Want
        ",#158Released 2016Excl. to Hot Topic 
"
          Beerus        ","
$65.00        ","
          6167 Own
        ","
          3698 Want
        ",#120Released 2016 
"
          Beerus (Flocked)        ","
$36.00        ","
          3990 Own
        ","
          921 Want
        ",#514Released 2018Excl. to Funimation 
"
          Beerus (Metallic)        ","
$160.00        ","
          6164 Own
        ","
          3801 Want
        ",#120Released 2016Excl. to Funimation / San Diego Comic-Con 
"
          Bulma        ","
$12.00        ","
          11350 Own
        ","
          2215 Want
        ",#108Released 2016 
"
          Bulma & Goku with Flying Nimbus        ","
$70.00        ","
          1938 Own
        ","
          2001 Want
        ",Released 2016Excl. to Books-A-Million 
"
          Bulma (Trunks Saga)        ","
N/D        ","
          74 Own
        ","
          273 Want
        ",Due 2019-11-01 
"
          Bulma (Yellow)        ","
$5.00        ","
          4631 Own
        ","
          796 Want
        ",#385Released 2018 
"
          Chichi        ","
$8.00        ","
          1487 Own
        ","
          258 Want
        ",#617Released 2019 
"
          Dead Yamcha [SDCC]        ","
$50.00        ","
          968 Own
        ","
          737 Want
        ",#397Released 2018Excl. to San Diego Comic Con 
"
          Dead Yamcha [Summer Convention]        ","
$16.00        ","
          8929 Own
        ","
          648 Want
        ",#397Released 2018Excl. to Hot Topic (SDCC) 
"
          Failed Fusions (2-Pack)        ","
$23.00        ","
          1798 Own
        ","
          248 Want
        ",Released 2019Excl. to BoxLunch 
"
          Frieza (Final Form)        ","
$8.00        ","
          19165 Own
        ","
          2654 Want
        ",#12Released 2014 
"
          Frieza (Hoverchair)        ","
$7.00        ","
          2372 Own
        ","
          293 Want
        ",#619Released 2019 
"
          Future Trunks        ","
$5.00        ","
          9382 Own
        ","
          982 Want
        ",#313Released 2017 
"
          Future Trunks (Holding Dragonball)        ","
$16.00        ","
          1654 Own
        ","
          230 Want
        ",#639Released 2019Excl. to Hot Topic 
"
          Future Trunks (Holding Dragonball) (Metallic)        ","
$100.00        ","
          738 Own
        ","
          328 Want
        ",#639Released 2019Excl. to Hot Topic 
"
          Gohan        ","
$8.00        ","
          12984 Own
        ","
          2229 Want
        ",#106Released 2016 
"
          Gohan & Piccolo (2-Pack)        ","
$48.00        ","
          2710 Own
        ","
          1378 Want
        ",Released 2017Excl. to Funimation 
"
          Gohan (Training Outfit)        ","
$6.00        ","
          6440 Own
        ","
          758 Want
        ",#383Released 2018 
"
          Gohan (with Sword)        ","
$8.00        ","
          2672 Own
        ","
          227 Want
        ",#621Released 2019Excl. to GameStop Funko Insider Club 
"
          Goku        ","
$21.00        ","
          16988 Own
        ","
          4592 Want
        ",#9Released 2014Excl. to Hot Topic 
"
          Goku & Flying Nimbus        ","
$10.00        ","
          19035 Own
        ","
          2217 Want
        ",#109Released 2016 
"
          Goku & Flying Nimbus (Orange)        ","
$90.00        ","
          4972 Own
        ","
          3447 Want
        ",#109Released 2016Excl. to Galactic Toys 
"
          Goku & Vegeta (Baseball) (2-Pack)        ","
$31.00        ","
          919 Own
        ","
          167 Want
        ",Released 2019Excl. to BoxLunch 
"
          Goku (Casual)        ","
$6.00        ","
          5106 Own
        ","
          541 Want
        ",#527Released 2019 
"
          Goku (Ultra Instinct)        ","
$7.00        ","
          11367 Own
        ","
          943 Want
        ",#386Released 2018 
"
          Goku (Windy)        ","
$7.00        ","
          2052 Own
        ","
          276 Want
        ",#615Released 2019 
"
          Goku (Windy) (Kamehameha)        ","
$29.00        ","
          558 Own
        ","
          137 Want
        ",#642Released 2019Excl. to GameStop 
"
          Goku (World Tournament)        ","
N/D        ","
          89 Own
        ","
          316 Want
        ",Due 2019-11-01 
"
          Goku Black        ","
$8.00        ","
          12145 Own
        ","
          1135 Want
        ",#314Released 2017 
"
          Golden Frieza (Black Eyes)        ","
$85.00        ","
          10776 Own
        ","
          4472 Want
        ",#47Released 2015Excl. to San Diego Comic Con 
"
          Golden Frieza (Red Eyes)        ","
$260.00        ","
          3479 Own
        ","
          4485 Want
        ",#47Released 2015Excl. to San Diego Comic Con 
"
          Goten        ","
$7.00        ","
          1527 Own
        ","
          238 Want
        ",#618Released 2019 
"
          Goten / Trunks (2-Pack)        ","
$49.00        ","
          5770 Own
        ","
          1493 Want
        ",Released 2018Excl. to Funimation/BoxLunch 
